driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres
H. KOVALAINEN,3,76,20,81.77,81.698,7819.884,41.511,194.335,2,78,2,0,0,52.355,
J. TRULLI,1,1,21,99.391,96.619,99.391,14.552,14.552,0,1,0,0,0,0,
J. TRULLI,1,2,21,84.509,81.773,183.9,18.792,18.792,0,2,0,0,0,0,
J. TRULLI,1,3,21,83.655,80.955,267.555,22.636,22.636,0,3,0,0,0,0,
J. TRULLI,1,4,21,82.977,80.313,350.532,26.128,26.128,0,4,0,0,0,0,
J. TRULLI,1,5,21,82.633,80.005,433.165,29.224,29.224,0,5,0,0,0,0,
J. TRULLI,1,6,21,82.272,79.68,515.437,31.74,31.74,0,6,0,0,0,0,
J. TRULLI,1,7,21,82.124,79.568,597.561,34.069,34.069,0,7,0,0,0,0,
J. TRULLI,1,8,21,82.017,79.497,679.578,36.698,36.698,0,8,0,0,0,0,
J. TRULLI,1,9,21,82.172,79.688,761.75,39.182,39.182,0,9,0,0,0,0,
J. TRULLI,1,10,21,82.164,79.716,843.914,41.788,41.788,0,10,0,0,0,0,
J. TRULLI,1,11,21,81.959,79.547,925.873,44.051,44.051,0,11,0,0,0,0,
J. TRULLI,1,12,21,81.656,79.28,1007.529,45.975,45.975,0,12,0,0,0,0,
J. TRULLI,1,13,21,81.878,79.538,1089.407,47.407,47.407,0,13,0,0,0,0,
J. TRULLI,1,14,21,81.865,79.561,1171.272,49.223,49.223,0,14,0,0,0,0,
J. TRULLI,1,15,21,82.267,79.999,1253.539,50.202,50.202,0,15,0,0,0,0,
J. TRULLI,1,16,21,82.111,79.879,1335.65,45.931,45.931,0,16,0,0,0,0,
J. TRULLI,1,17,21,83.563,81.367,1419.213,34.641,34.641,0,17,0,0,0,0,
J. TRULLI,1,18,21,82.946,80.786,1502.159,39.496,39.496,0,18,0,0,0,0,
J. TRULLI,1,19,21,82.79,80.666,1584.949,43.938,43.938,0,19,0,0,0,0,
J. TRULLI,1,20,21,82.763,80.675,1667.712,48.498,48.498,0,20,0,0,0,0,
J. TRULLI,1,21,21,82.988,80.936,1750.7,53.287,53.287,0,21,0,0,0,0,
J. TRULLI,1,22,21,83.571,81.555,1834.271,58.032,58.032,0,22,0,0,0,0,
J. TRULLI,1,23,21,83.8,81.82,1918.071,62.698,62.698,0,23,0,0,0,0,
J. TRULLI,1,24,21,103.222,101.278,2021.293,9.415,87.7,1,25,1,25.595,1,25.595,
J. TRULLI,2,25,21,89.386,87.478,2110.679,20.349,98.801,1,26,1,0,0,25.595,
J. TRULLI,2,26,21,83.104,81.232,2193.783,24.024,103.453,1,27,1,0,0,25.595,
J. TRULLI,2,27,21,82.25,80.414,2276.033,26.072,106.274,1,28,1,0,0,25.595,
J. TRULLI,2,28,21,82.137,80.337,2358.17,29.903,108.209,1,29,1,0,0,25.595,
J. TRULLI,2,29,21,81.629,79.865,2439.799,32.905,111.532,1,30,1,0,0,25.595,
J. TRULLI,2,30,21,82.255,80.527,2522.054,35.608,115.16,1,31,1,0,0,25.595,
J. TRULLI,2,31,21,81.448,79.756,2603.502,37.885,117.056,1,32,1,0,0,25.595,
J. TRULLI,2,32,21,82.851,81.195,2686.353,27.865,107.378,1,33,1,0,0,25.595,
J. TRULLI,2,33,21,91.954,90.334,2778.307,33.536,119.819,1,34,1,0,0,25.595,
J. TRULLI,2,34,21,106.042,104.458,2884.349,10.653,139.578,1,35,1,0,0,25.595,
J. TRULLI,2,35,21,117.344,115.796,3001.693,6.501,127.997,1,36,1,0,0,25.595,
J. TRULLI,2,36,21,117.048,115.536,3118.741,5.943,123.549,1,37,1,0,0,25.595,
J. TRULLI,2,37,21,114.284,112.808,3233.025,5.011,120.227,1,38,1,0,0,25.595,
J. TRULLI,2,38,21,86.967,85.527,3319.992,10.942,91.978,1,39,1,0,0,25.595,
J. TRULLI,2,39,21,82.893,81.489,3402.885,13.632,93.835,1,40,1,0,0,25.595,
J. TRULLI,2,40,21,82.482,81.114,3485.367,16.454,96.114,1,41,1,0,0,25.595,
J. TRULLI,2,41,21,81.87,80.538,3567.237,19.079,98.324,1,42,1,0,0,25.595,
J. TRULLI,2,42,21,81.861,80.565,3649.098,21.193,100.94,1,43,1,0,0,25.595,
J. TRULLI,2,43,21,81.803,80.543,3730.901,23.721,102.996,1,44,1,0,0,25.595,
J. TRULLI,2,44,21,82.052,80.828,3812.953,26.549,105.773,1,45,1,0,0,25.595,
J. TRULLI,2,45,21,81.892,80.704,3894.845,29.125,108.441,1,46,1,0,0,25.595,
J. TRULLI,2,46,21,100.957,99.805,3995.802,51.043,130.082,1,47,2,26.065,1,51.66,
J. TRULLI,3,47,21,87.668,86.552,4083.47,59.52,138.711,1,48,2,0,0,51.66,
J. TRULLI,3,48,21,82.531,81.451,4166.001,62.595,142.051,1,49,2,0,0,51.66,
J. TRULLI,3,49,21,81.844,80.8,4247.845,65.125,144.439,1,50,2,0,0,51.66,
J. TRULLI,3,50,21,81.327,80.319,4329.172,66.981,146.452,1,51,2,0,0,51.66,
J. TRULLI,3,51,21,81.813,80.841,4410.985,69.395,148.794,1,52,2,0,0,51.66,
J. TRULLI,3,52,21,84.152,83.216,4495.137,73.96,153.547,1,53,2,0,0,51.66,
J. TRULLI,3,53,21,82.841,81.941,4577.978,76.974,156.801,1,54,2,0,0,51.66,
J. TRULLI,3,54,21,86.097,85.233,4664.075,3.6,163.071,2,56,2,0,0,51.66,
J. TRULLI,3,55,21,82.899,82.071,4746.974,7.154,166.462,2,57,2,0,0,51.66,
J. TRULLI,3,56,21,84.262,83.47,4831.236,12.198,170.761,2,58,2,0,0,51.66,
J. TRULLI,3,57,21,83.497,82.741,4914.733,16.624,174.913,2,59,2,0,0,51.66,
J. TRULLI,3,58,21,83.868,83.148,4998.601,21.446,179.563,2,60,2,0,0,51.66,
J. TRULLI,3,59,21,83.892,83.208,5082.493,26.149,184.384,2,61,2,0,0,51.66,
J. TRULLI,3,60,21,84.7,84.052,5167.193,31.222,190.038,2,62,2,0,0,51.66,
J. TRULLI,3,61,21,84.674,84.062,5251.867,36.149,195.523,2,63,2,0,0,51.66,
J. TRULLI,3,62,21,86.21,85.634,5338.077,43.036,202.106,2,64,2,0,0,51.66,
J. TRULLI,3,63,21,81.788,81.248,5419.865,45.013,204.147,2,65,2,0,0,51.66,
J. TRULLI,3,64,21,81.928,81.424,5501.793,47.459,206.752,2,66,2,0,0,51.66,
J. TRULLI,3,65,21,81.438,80.97,5583.231,48.486,208.379,2,67,2,0,0,51.66,
J. TRULLI,3,66,21,81.277,80.845,5664.508,49.984,210.174,2,68,2,0,0,51.66,
J. TRULLI,3,67,21,97.716,97.32,5762.224,61.988,227.479,2,69,2,0,0,51.66,
J. TRULLI,3,68,21,114.626,114.266,5876.85,47.085,262.326,2,70,2,0,0,51.66,
J. TRULLI,3,69,21,95.55,95.226,5972.4,18.98,272.164,2,71,2,0,0,51.66,
J. TRULLI,3,70,21,1305.145,1304.857,7277.545,11.084,1447.78,2,72,2,0,0,51.66,
J. TRULLI,3,71,21,123.044,122.792,7400.589,8.726,1447.169,2,73,2,0,0,51.66,
J. TRULLI,3,72,21,87.281,87.065,7487.87,17.792,221.409,2,74,2,0,0,51.66,
J. TRULLI,3,73,21,85.649,85.469,7573.519,24.909,181.656,2,75,2,0,0,51.66,
J. TRULLI,3,74,21,81.996,81.852,7655.515,29.966,185.437,2,76,2,0,0,51.66,
J. TRULLI,3,75,21,82.017,81.909,7737.532,35.426,188.922,2,77,2,0,0,51.66,
J. TRULLI,3,76,21,81.913,81.841,7819.445,41.072,193.896,2,78,2,0,0,51.66,
N. KARTHIKEYAN,1,1,22,103.863,101.091,103.863,19.024,19.024,0,1,0,0,0,0,
N. KARTHIKEYAN,1,2,22,85.97,83.234,189.833,24.725,24.725,0,2,0,0,0,0,
N. KARTHIKEYAN,1,3,22,85.149,82.449,274.982,30.063,30.063,0,3,0,0,0,0,
N. KARTHIKEYAN,1,4,22,84.444,81.78,359.426,35.022,35.022,0,4,0,0,0,0,
N. KARTHIKEYAN,1,5,22,83.858,81.23,443.284,39.343,39.343,0,5,0,0,0,0,
N. KARTHIKEYAN,1,6,22,84.629,82.037,527.913,44.216,44.216,0,6,0,0,0,0,
N. KARTHIKEYAN,1,7,22,84.355,81.799,612.268,48.776,48.776,0,7,0,0,0,0,
N. KARTHIKEYAN,1,8,22,84.212,81.692,696.48,53.6,53.6,0,8,0,0,0,0,
